timestamp,label,ax,ay,az,gx,gy,gz
0,struggle,0.1392936706542968,0.3245168924331665,0.0351060479879379,-0.1538507725511279,0.2260856117521008,-0.09954921262604832
100,struggle,1.261228561401367,1.41911768913269,-4.086977005004883,0.4955612986671659,3.062298653077098,-0.5691612070920504
200,struggle,2.267774105072021,-1.184367299079895,-3.818997621536255,1.454008883359481,4.839717144868811,-0.2820296159812385
300,struggle,-1.021368980407715,2.765882253646851,1.220625877380371,1.137240985218359,3.374921506764936,0.5055315214760452
400,struggle,-1.566243886947632,0.6303287744522095,0.5539150238037109,0.2921525373750798,1.951630319867816,0.7453397719227535
500,struggle,-2.018197059631348,1.482012748718261,1.627924919128418,0.1624465198541174,1.506097605033798,0.4439899596024537
600,struggle,-4.581077575683594,2.173830270767212,9.107954978942873,0.2823693378239257,-0.7324928641319217,-0.04955176400894934
700,struggle,-0.2751750946044922,-0.9806771278381348,-2.06553053855896,-0.6597999164036341,-4.261745044163296,-0.7145596061434063
800,struggle,2.35319709777832,1.910999298095703,-2.476747035980225,-1.235334702292262,-4.321111241165461,-0.293212206996212
900,struggle,-4.167366027832031,0.0987618193030357,3.953242778778076,0.393702644170544,-1.912042505887086,0.653996666171116
1000,struggle,-1.787458419799805,1.655651211738586,-5.035046577453613,0.5366638071683012,-2.253858975001746,0.0269684557403839
1100,struggle,-9.838252067565918,3.984453201293945,-6.098217010498047,-0.129132547548839,-0.7719840942596894,0.03628414990950613
1200,struggle,6.411758422851562,1.583425164222717,7.352428436279297,0.3077981770038601,1.624053824921043,0.1965552446793536
1300,struggle,-2.261712551116944,0.8220813274383545,1.315514087677002,1.183255352536026,3.720431172117896,0.4516974523359422
1400,struggle,-1.646389007568359,0.2190679311752319,0.9841623306274414,0.7590655258723678,3.928779942648755,1.171988606452941
1500,struggle,-1.105591297149658,1.020219326019287,3.201179504394531,0.2291679642334281,2.087977978647975,1.354070066189282
1600,struggle,-4.33466100692749,-0.8289146423339844,6.12528133392334,0.03184602683296017,0.9907392433711465,0.4831009315592913
1700,struggle,-1.558335304260254,-0.159212052822113,1.605715155601502,-0.04444044737183325,0.1521864691559109,-0.2139835976520377
1800,struggle,-0.9647946357727052,1.00678539276123,-4.680802822113037,-0.4428928944529248,-2.088161782342548,-1.22169929499528
1900,struggle,-3.810809135437012,1.403007388114929,0.0495486259460449,-1.581159264457474,-3.781517471585969,-2.15734222470499
