timestamp,ax,ay,az,gx,gy,gz
0,0.576817267152578,0.6958939441687256,0.32254145530012485,0.4160121932714103,0.49017467558086564,0.39974487650140517
100,0.512878207519645,0.6272655061385153,0.3248046603302867,0.6482653344160475,0.359368803448741,0.6430678471340305
200,0.5361337686352018,0.5647113579412979,0.265920241795543,0.7418985820496372,0.37802699897703085,0.7656860411091787
300,0.8616936215254142,0.5479258538172394,0.29160647734627504,0.782691549992239,0.5339420409177219,0.5666905865392319
400,0.6573442506927147,0.7443025486500019,0.21513412649020927,0.6245520354281543,0.4171298182083581,0.6184325969383817
500,0.7196752396585417,0.8421954638121434,0.2060051014601247,0.32245519774061254,0.2996228765160867,0.3478434161460781
600,0.532389840058344,0.5750504136671011,0.4811833553491751,0.5703392946808957,0.33009131141308695,0.6588535533875899
700,0.7772521992332803,0.6099094060859004,0.06197445910601245,0.5820053331163584,0.48962882376148964,0.5678067451542534
800,0.8472773996625627,0.8072146718319877,0.2600687660345111,0.21151352911030197,0.6103116343708735,0.2615801690504949
900,0.5351075088738072,0.6078307924072018,0.3210311719932103,0.29340449047195727,0.4110758285839243,0.41289962725182505
1000,0.6187837435447966,0.7289649756726034,0.2900469629902822,0.19573007337540982,0.4623858711456725,0.44168062091697213
1100,0.7004576603613494,0.721651016564421,0.4021227012273435,0.3649256522159441,0.4823838857226153,0.3208163987642165
1200,0.40704970126813345,0.6277795447632586,0.2657472643809426,0.4308044164665071,0.4414946445637634,0.5902096870416316
1300,0.4976850786640967,0.5719003090338773,0.24385194974540408,0.7746092110662947,0.3907800748209638,0.884238225514694
1400,0.878848239457086,0.5023303556370071,0.32690889085039543,0.8948532096038764,0.4727570494665886,0.40022323529171355
1500,0.739530090744437,0.7179239765395948,0.1928124320506844,0.5921463892246623,0.3484021502264669,0.5848680599790204
1600,0.6892060044949734,0.7907231727532127,0.2063323654388342,0.41585969759849145,0.32924771971355826,0.4511679825273107
1700,0.6132755998069532,0.7963848221792671,0.2612788070992287,0.654670220939889,0.48129218208386415,0.5873395521433291
1800,0.7911894651114593,0.6284059567320586,0.25741039993462256,0.6104460491606835,0.723154032734162,0.707565978932257
1900,0.8309828714931968,0.9681783295158433,0.2881474130386635,0.21197101612904556,0.6072350130059936,0.26652315337911553
