timestamp,label,ax,ay,az,gx,gy,gz
0,walkingToRunning,-11.13384056091309,-14.18883228302002,-7.074286460876465,0.1449330214943292,1.165589673178594,-0.2754184092794358
100,walkingToRunning,-9.418439865112305,-9.676417350769045,-8.096508026123047,3.144946085555223,-6.092144768578668,-2.065853960173481
200,walkingToRunning,17.99904441833496,10.46211528778076,5.739192962646484,2.411846300108097,-2.998377110842354,-1.209750396864759
300,walkingToRunning,21.18538665771484,4.166534900665283,8.056502342224121,-1.357690974644261,0.8570090349231524,1.883484615598408
400,walkingToRunning,-48.95797729492188,21.78786277770996,-0.663942813873291,-2.860037258693148,-2.044664865732181,-1.950326073169695
500,walkingToRunning,-51.63021087646485,21.43667411804199,0.2754793167114258,-1.702425773430137,6.032992362976163,-3.296660602092725
600,walkingToRunning,-6.684616088867188,-53.19293975830078,-11.34708404541016,0.3126779377369045,6.479121286528331,-1.585693658249726
700,walkingToRunning,-4.157036304473877,-51.09187316894531,-11.45985221862793,1.2245405282293,-5.543206473759242,-2.580262565612791
800,walkingToRunning,0.718238353729248,-36.44342803955078,49.82834243774414,1.617181776251111,-3.125919693495542,-0.1643911872591244
900,walkingToRunning,2.645053386688232,-43.68149566650391,53.12262344360352,-1.971336638927448,1.658574864268297,5.434939258439194
1000,walkingToRunning,25.72290420532227,4.552091598510742,-7.990055084228516,-4.956257096358723,7.306268368448494,4.086458946977384
1100,walkingToRunning,26.21332740783692,5.633610725402832,-8.995002746582031,-0.8198845863342561,11.12434749603274,-5.147062941959883
1200,walkingToRunning,-4.608940124511719,-37.16049957275391,-19.42632293701172,0.935701674222974,2.147919416427764,-10.2126766681671
1300,walkingToRunning,-2.403503179550171,-35.6165771484375,-19.43898963928223,-0.2389882990292007,-7.616005550112014,-8.15657933269224
1400,walkingToRunning,12.55340099334717,-23.55029106140137,23.63160514831543,1.526702780382972,-3.326455611842019,-0.5443786570003977
1500,walkingToRunning,13.95744132995606,-31.91344451904297,27.42757415771484,-0.8731935024261477,-0.6492596694401325,2.44735940865108
1600,walkingToRunning,28.30527877807617,-5.764571666717529,-1.558635234832764,-4.709237475054613,6.562261234010962,2.4601501447814
1700,walkingToRunning,30.55707168579102,-2.7412428855896,-4.06655740737915,-0.5285803828919924,10.79857470648639,-3.973240453856401
1800,walkingToRunning,13.90102863311768,-10.42354011535644,27.34511184692383,3.850714295251004,12.26201233182615,-8.182716676167052
1900,walkingToRunning,14.64404201507568,-11.09142875671387,27.1166820526123,2.128158664703387,-4.566282844543414,-4.598254120349853
